customer_id,timestamp,message_1,message_2,message_3,status
C77809,2025-02-26T00:16:29.199487,What is the status of my order?,Where is my order?,"My order is delayed, can you help?",unresolved
C36263,2025-03-02T08:23:29.199529,"My app keeps crashing, what should I do?",I'm unable to log into my account.,I'm getting a 404 error on your website.,pending
C50946,2025-03-15T18:17:29.199560,I'm getting a 404 error on your website.,How can I reset my password?,The website is too slow.,pending
C78750,2025-03-22T23:54:29.199576,I need to change my delivery address.,What is the status of my order?,When will I receive my order?,unresolved
C77867,2025-02-26T03:01:29.199589,What is your return policy?,How do I update my profile information?,Do you offer international shipping?,unresolved
C38036,2025-02-25T18:42:29.199600,I'm unable to log into my account.,The website is too slow.,How can I reset my password?,resolved
C63616,2025-03-15T03:33:29.199610,Do you have a loyalty program?,How can I contact customer service?,What is your return policy?,pending
C32048,2025-03-24T14:00:29.199623,"My order is delayed, can you help?",When will I receive my order?,Where is my order?,pending
C11950,2025-02-25T07:15:29.199637,What is the status of my order?,Where is my order?,"My order is delayed, can you help?",resolved
C24897,2025-02-25T19:43:29.199648,"My payment failed, what should I do?",I applied a coupon but it's not working.,Can I change my payment method?,unresolved
C94720,2025-03-04T22:07:29.199658,How do I update my profile information?,What is your return policy?,Do you offer international shipping?,pending
C33536,2025-03-04T09:45:29.199668,"My payment failed, what should I do?","I was charged twice, how can I get a refund?",I applied a coupon but it's not working.,resolved
C54739,2025-03-14T19:42:29.199678,"My order is delayed, can you help?",I need to change my delivery address.,Where is my order?,resolved
C13189,2025-03-06T09:22:29.199687,I'm getting a 404 error on your website.,How can I reset my password?,The website is too slow.,pending
C19301,2025-03-17T07:11:29.199696,Where is my order?,When will I receive my order?,What is the status of my order?,pending
C45175,2025-03-22T13:47:29.199705,"My order is delayed, can you help?",Where is my order?,I need to change my delivery address.,pending
C87913,2025-03-24T11:40:29.199714,How do I update my profile information?,What is your return policy?,Do you offer international shipping?,resolved
C54842,2025-03-16T18:11:29.199724,Do you offer international shipping?,How can I contact customer service?,Do you have a loyalty program?,unresolved
C54205,2025-02-23T13:45:29.199733,Can I change my payment method?,Why was my payment declined?,"I was charged twice, how can I get a refund?",pending
C15521,2025-03-22T19:45:29.199743,I'm unable to log into my account.,"My app keeps crashing, what should I do?",I'm getting a 404 error on your website.,unresolved
C20331,2025-03-14T01:18:29.199752,I applied a coupon but it's not working.,"I was charged twice, how can I get a refund?","My payment failed, what should I do?",unresolved
C13805,2025-03-14T08:46:29.199762,The website is too slow.,I'm unable to log into my account.,I'm getting a 404 error on your website.,resolved
C74342,2025-03-12T21:34:29.199772,What is your return policy?,How do I update my profile information?,Do you have a loyalty program?,unresolved
C33881,2025-03-18T23:40:29.199781,When will I receive my order?,Where is my order?,What is the status of my order?,resolved
C58653,2025-03-03T16:27:29.199790,The website is too slow.,I'm getting a 404 error on your website.,I'm unable to log into my account.,unresolved
C23078,2025-02-28T09:51:29.199799,How can I reset my password?,I'm getting a 404 error on your website.,The website is too slow.,unresolved
C60589,2025-03-08T04:34:29.199808,"I was charged twice, how can I get a refund?",Can I change my payment method?,I applied a coupon but it's not working.,resolved
